CaseID,StructID,GM_ID,gm_file,gm_dt_sec,gm_unit,gm_scale,k_global_scale,qy_global_scale,mass_scale,damping_ratio,alpha_post,story_height_m,n_story,k1_scale,k2_scale,k3_scale,k4_scale,k5_scale,qy1_scale,qy2_scale,qy3_scale,qy4_scale,qy5_scale,K1_N_per_m,K2_N_per_m,K3_N_per_m,K4_N_per_m,K5_N_per_m,Qy1_N,Qy2_N,Qy3_N,Qy4_N,Qy5_N,floor_mass_kg,model_type,run_status,success,message,top_disp_max_m,max_story_drift,base_shear_max_N,analysis_time_sec
Case0001,Struct0001,EI,ground_motion/ei3.txt,0.02,g,1,0.8264,0.8403,0.8106,0.0331,0.042,3.334,5,0.948,0.9705,0.9014,1.0498,0.9849,1.0814,1.1423,0.8614,0.8584,1.0956,141016896,132333498,111737544,117119887.2,97670563.2,3634801.68,3551536.35,2461037.03,2236071.91,2577771.5,202650,5-story shear model,pending,,,,,,
Case0002,Struct0001,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8264,0.8403,0.8106,0.0331,0.042,3.334,5,0.948,0.9705,0.9014,1.0498,0.9849,1.0814,1.1423,0.8614,0.8584,1.0956,141016896,132333498,111737544,117119887.2,97670563.2,3634801.68,3551536.35,2461037.03,2236071.91,2577771.5,202650,5-story shear model,pending,,,,,,
Case0003,Struct0002,EI,ground_motion/ei3.txt,0.02,g,1,0.9399,1.021,1.1335,0.0659,0.0242,3.594,5,1.0198,0.9916,0.8705,1.1178,0.9393,1.0131,1.0808,1.1372,1.0994,0.8689,172531803.6,153780798.6,122727442.5,141833729.7,105941768.4,4137500.4,4082938.16,3947676.08,3479710.94,2484011.32,283375,5-story shear model,pending,,,,,,
Case0004,Struct0002,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9399,1.021,1.1335,0.0659,0.0242,3.594,5,1.0198,0.9916,0.8705,1.1178,0.9393,1.0131,1.0808,1.1372,1.0994,0.8689,172531803.6,153780798.6,122727442.5,141833729.7,105941768.4,4137500.4,4082938.16,3947676.08,3479710.94,2484011.32,283375,5-story shear model,pending,,,,,,
Case0005,Struct0003,EI,ground_motion/ei3.txt,0.02,g,1,0.918,1.1976,1.1769,0.0627,0.0433,3.572,5,0.9741,0.8667,1.1161,0.8736,0.8934,1.0601,0.9746,1.0242,0.8748,1.0156,160960284,131279049,153686970,108265248,98416944,5078303.04,4318569.55,4170378.53,3247747.49,3405591.17,294225,5-story shear model,pending,,,,,,
Case0006,Struct0003,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.918,1.1976,1.1769,0.0627,0.0433,3.572,5,0.9741,0.8667,1.1161,0.8736,0.8934,1.0601,0.9746,1.0242,0.8748,1.0156,160960284,131279049,153686970,108265248,98416944,5078303.04,4318569.55,4170378.53,3247747.49,3405591.17,294225,5-story shear model,pending,,,,,,
Case0007,Struct0004,EI,ground_motion/ei3.txt,0.02,g,1,0.9678,1.2142,0.9769,0.0573,0.0447,3.559,5,0.894,0.9371,1.0178,0.9151,1.0054,0.9844,1.1278,1.0974,0.904,1.1376,155738376,149642687.7,147754026,119560560.3,116763134.4,4781033.92,5066686.61,4530374.47,3402674.08,3867566.98,244225,5-story shear model,pending,,,,,,
Case0008,Struct0004,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9678,1.2142,0.9769,0.0573,0.0447,3.559,5,0.894,0.9371,1.0178,0.9151,1.0054,0.9844,1.1278,1.0974,0.904,1.1376,155738376,149642687.7,147754026,119560560.3,116763134.4,4781033.92,5066686.61,4530374.47,3402674.08,3867566.98,244225,5-story shear model,pending,,,,,,
Case0009,Struct0005,EI,ground_motion/ei3.txt,0.02,g,1,1.1781,0.8097,1.1383,0.0661,0.0133,3.217,5,0.9148,0.955,1.0681,0.9974,1.009,1.1279,1.0027,0.8836,0.8758,0.871,193990658.4,185639107.5,188749291.5,158629986.9,142644348,3653042.52,3003978.9,2432533.13,2198319.31,1974696.36,284575,5-story shear model,pending,,,,,,
Case0010,Struct0005,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1781,0.8097,1.1383,0.0661,0.0133,3.217,5,0.9148,0.955,1.0681,0.9974,1.009,1.1279,1.0027,0.8836,0.8758,0.871,193990658.4,185639107.5,188749291.5,158629986.9,142644348,3653042.52,3003978.9,2432533.13,2198319.31,1974696.36,284575,5-story shear model,pending,,,,,,
Case0011,Struct0006,EI,ground_motion/ei3.txt,0.02,g,1,1.0652,1.0214,0.94,0.0555,0.0426,3.386,5,0.9659,0.8714,0.968,1.1382,0.9518,0.8866,0.9156,0.946,1.0401,0.9258,185197802.4,153155521.2,154667040,163675436.4,121662883.2,3622292.96,3460217.21,3285230.96,3293310.23,2647713.94,235000,5-story shear model,pending,,,,,,
Case0012,Struct0006,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0652,1.0214,0.94,0.0555,0.0426,3.386,5,0.9659,0.8714,0.968,1.1382,0.9518,0.8866,0.9156,0.946,1.0401,0.9258,185197802.4,153155521.2,154667040,163675436.4,121662883.2,3622292.96,3460217.21,3285230.96,3293310.23,2647713.94,235000,5-story shear model,pending,,,,,,
Case0013,Struct0007,EI,ground_motion/ei3.txt,0.02,g,1,0.8322,1.11,1.1439,0.0433,0.032,3.05,5,1.0703,0.91,0.888,1.062,1.0475,1.1485,1.0259,0.8804,0.9034,1.0172,160326658.8,124954830,110849040,119312514,104607540,5099340,4213371.3,3322629.6,3108599.4,3161457.6,285975,5-story shear model,pending,,,,,,
Case0014,Struct0007,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8322,1.11,1.1439,0.0433,0.032,3.05,5,1.0703,0.91,0.888,1.062,1.0475,1.1485,1.0259,0.8804,0.9034,1.0172,160326658.8,124954830,110849040,119312514,104607540,5099340,4213371.3,3322629.6,3108599.4,3161457.6,285975,5-story shear model,pending,,,,,,
Case0015,Struct0008,EI,ground_motion/ei3.txt,0.02,g,1,1.1469,1.152,0.8058,0.0354,0.0226,3.058,5,1.1274,1.1278,1.0147,0.8667,0.9223,0.9021,1.0818,0.9706,0.9688,0.9805,232742710.8,213423180.3,174563914.5,134192461.1,126934304.4,4156876.8,4611064.32,3801646.08,3459778.56,3162700.8,201450,5-story shear model,pending,,,,,,
Case0016,Struct0008,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1469,1.152,0.8058,0.0354,0.0226,3.058,5,1.1274,1.1278,1.0147,0.8667,0.9223,0.9021,1.0818,0.9706,0.9688,0.9805,232742710.8,213423180.3,174563914.5,134192461.1,126934304.4,4156876.8,4611064.32,3801646.08,3459778.56,3162700.8,201450,5-story shear model,pending,,,,,,
Case0017,Struct0009,EI,ground_motion/ei3.txt,0.02,g,1,0.9421,1.1252,1.0274,0.0704,0.0462,3.192,5,1.0943,0.9222,0.9125,0.8503,0.9685,0.9915,0.9359,1.0864,1.0905,0.9638,185569205.4,143352762.3,128949937.5,108144130.1,109490862,4462543.2,3896376.32,4156218.75,3803794.86,3036509.73,256850,5-story shear model,pending,,,,,,
Case0018,Struct0009,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9421,1.1252,1.0274,0.0704,0.0462,3.192,5,1.0943,0.9222,0.9125,0.8503,0.9685,0.9915,0.9359,1.0864,1.0905,0.9638,185569205.4,143352762.3,128949937.5,108144130.1,109490862,4462543.2,3896376.32,4156218.75,3803794.86,3036509.73,256850,5-story shear model,pending,,,,,,
Case0019,Struct0010,EI,ground_motion/ei3.txt,0.02,g,1,0.8468,1.1833,0.9454,0.0712,0.0421,3.592,5,0.9428,0.9314,1.1339,1.039,1.1196,0.9976,0.9612,1.0691,1.0945,0.9192,143705347.2,130137070.8,144027978,118776402,113769273.6,4721840.32,4208335.45,4301224.5,4014877.74,3045530.21,236350,5-story shear model,pending,,,,,,
Case0020,Struct0010,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8468,1.1833,0.9454,0.0712,0.0421,3.592,5,0.9428,0.9314,1.1339,1.039,1.1196,0.9976,0.9612,1.0691,1.0945,0.9192,143705347.2,130137070.8,144027978,118776402,113769273.6,4721840.32,4208335.45,4301224.5,4014877.74,3045530.21,236350,5-story shear model,pending,,,,,,
Case0021,Struct0011,EI,ground_motion/ei3.txt,0.02,g,1,0.8414,0.8517,1.1793,0.0214,0.0234,3.56,5,0.9822,1.105,0.884,1.1379,1.0019,0.8731,1.0024,1.0013,1.0018,1.1499,148756154.4,153408255,111569640,129252923.1,101159839.2,2974477.08,3158853.1,2899544.51,2645022.49,2742235.52,294825,5-story shear model,pending,,,,,,
Case0022,Struct0011,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8414,0.8517,1.1793,0.0214,0.0234,3.56,5,0.9822,1.105,0.884,1.1379,1.0019,0.8731,1.0024,1.0013,1.0018,1.1499,148756154.4,153408255,111569640,129252923.1,101159839.2,2974477.08,3158853.1,2899544.51,2645022.49,2742235.52,294825,5-story shear model,pending,,,,,,
Case0023,Struct0012,EI,ground_motion/ei3.txt,0.02,g,1,1.1238,0.9507,0.826,0.0608,0.0222,3.544,5,0.8784,1.1334,0.8622,1.0739,1.0674,0.9339,1.011,1.0238,0.9605,1.0152,177686265.6,210162961.8,145341054,162924590.7,143945294.4,3551434.92,3556283.49,3309310.64,2830756.79,2702421.79,206500,5-story shear model,pending,,,,,,
Case0024,Struct0012,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1238,0.9507,0.826,0.0608,0.0222,3.544,5,0.8784,1.1334,0.8622,1.0739,1.0674,0.9339,1.011,1.0238,0.9605,1.0152,177686265.6,210162961.8,145341054,162924590.7,143945294.4,3551434.92,3556283.49,3309310.64,2830756.79,2702421.79,206500,5-story shear model,pending,,,,,,
Case0025,Struct0013,EI,ground_motion/ei3.txt,0.02,g,1,1.1209,0.8224,1.0883,0.0566,0.0163,3.588,5,0.8696,0.9533,0.9999,1.0125,1.1139,1.0841,1.0138,0.9621,1.0441,0.9632,175452235.2,176311405.1,168118186.5,153213018.8,149828461.2,3566255.36,3084871.74,2690185.54,2661870.3,2217979.9,272075,5-story shear model,pending,,,,,,
Case0026,Struct0013,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1209,0.8224,1.0883,0.0566,0.0163,3.588,5,0.8696,0.9533,0.9999,1.0125,1.1139,1.0841,1.0138,0.9621,1.0441,0.9632,175452235.2,176311405.1,168118186.5,153213018.8,149828461.2,3566255.36,3084871.74,2690185.54,2661870.3,2217979.9,272075,5-story shear model,pending,,,,,,
Case0027,Struct0014,EI,ground_motion/ei3.txt,0.02,g,1,1.1829,0.9382,0.9668,0.0252,0.0396,3.16,5,1.1056,1.0571,1.0367,0.9235,0.8846,0.8865,0.87,0.9309,0.9583,1.1078,235406563.2,206323192.4,183946864.5,147475100.3,125567200.8,3326857.2,3020065.8,2969459.29,2787138.89,2910146.29,241700,5-story shear model,pending,,,,,,
Case0028,Struct0014,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1829,0.9382,0.9668,0.0252,0.0396,3.16,5,1.1056,1.0571,1.0367,0.9235,0.8846,0.8865,0.87,0.9309,0.9583,1.1078,235406563.2,206323192.4,183946864.5,147475100.3,125567200.8,3326857.2,3020065.8,2969459.29,2787138.89,2910146.29,241700,5-story shear model,pending,,,,,,
Case0029,Struct0015,EI,ground_motion/ei3.txt,0.02,g,1,0.9025,0.8329,1.06,0.0432,0.0276,3.399,5,1.1455,1.1063,1.0904,1.0421,1.0903,1.1122,1.015,1.0265,0.9163,1.1446,186086475,164741898.8,147612900,126966858.8,118079490,3705405.52,3127955.95,2906904.29,2365877.44,2669344.55,265000,5-story shear model,pending,,,,,,
Case0030,Struct0015,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9025,0.8329,1.06,0.0432,0.0276,3.399,5,1.1455,1.1063,1.0904,1.0421,1.0903,1.1122,1.015,1.0265,0.9163,1.1446,186086475,164741898.8,147612900,126966858.8,118079490,3705405.52,3127955.95,2906904.29,2365877.44,2669344.55,265000,5-story shear model,pending,,,,,,
Case0031,Struct0016,EI,ground_motion/ei3.txt,0.02,g,1,1.1447,1.0636,0.9342,0.0495,0.0169,3.596,5,0.9472,1.0296,1.0194,1.0422,1.1216,1.1128,1.0396,0.9548,1.0973,1.0518,195166771.2,194466214.8,175036077,161055855.9,154067462.4,4734296.32,4091158.67,3452785.95,3617973.67,3132344.54,233550,5-story shear model,pending,,,,,,
Case0032,Struct0016,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1447,1.0636,0.9342,0.0495,0.0169,3.596,5,0.9472,1.0296,1.0194,1.0422,1.1216,1.1128,1.0396,0.9548,1.0973,1.0518,195166771.2,194466214.8,175036077,161055855.9,154067462.4,4734296.32,4091158.67,3452785.95,3617973.67,3132344.54,233550,5-story shear model,pending,,,,,,
Case0033,Struct0017,EI,ground_motion/ei3.txt,0.02,g,1,1.0545,0.8621,1.1365,0.0417,0.0141,3.046,5,0.853,1.0377,0.9164,1.0783,0.9514,1.1436,1.0066,1.0714,1.1495,0.9568,161907930,180552017.3,144951570,153504092.3,120390156,3943590.24,3210822.48,3140423.4,3072050.25,2309600.38,284125,5-story shear model,pending,,,,,,
Case0034,Struct0017,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0545,0.8621,1.1365,0.0417,0.0141,3.046,5,0.853,1.0377,0.9164,1.0783,0.9514,1.1436,1.0066,1.0714,1.1495,0.9568,161907930,180552017.3,144951570,153504092.3,120390156,3943590.24,3210822.48,3140423.4,3072050.25,2309600.38,284125,5-story shear model,pending,,,,,,
Case0035,Struct0018,EI,ground_motion/ei3.txt,0.02,g,1,0.8782,1.2235,1.0928,0.0348,0.0454,3.592,5,0.9491,1.003,1.1205,0.8501,1.0428,0.8649,1.0928,1.098,1.0717,1.1372,150029931.6,145337709,147603465,100785305.7,109894435.2,4232820.6,4947050.96,4567570.2,4064797.35,3895819.76,273200,5-story shear model,pending,,,,,,
Case0036,Struct0018,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8782,1.2235,1.0928,0.0348,0.0454,3.592,5,0.9491,1.003,1.1205,0.8501,1.0428,0.8649,1.0928,1.098,1.0717,1.1372,150029931.6,145337709,147603465,100785305.7,109894435.2,4232820.6,4947050.96,4567570.2,4064797.35,3895819.76,273200,5-story shear model,pending,,,,,,
Case0037,Struct0019,EI,ground_motion/ei3.txt,0.02,g,1,0.8943,1.175,1.1647,0.0627,0.0235,3.451,5,0.8767,0.9187,0.9897,1.0245,0.9603,1.031,1.0433,1.137,0.9506,0.9163,141125905.8,135562912.7,132763306.5,123688397.3,103055554.8,4845700,4535746.75,4542315,3462560.5,3014627,291175,5-story shear model,pending,,,,,,
Case0038,Struct0019,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8943,1.175,1.1647,0.0627,0.0235,3.451,5,0.8767,0.9187,0.9897,1.0245,0.9603,1.031,1.0433,1.137,0.9506,0.9163,141125905.8,135562912.7,132763306.5,123688397.3,103055554.8,4845700,4535746.75,4542315,3462560.5,3014627,291175,5-story shear model,pending,,,,,,
Case0039,Struct0020,EI,ground_motion/ei3.txt,0.02,g,1,1.1913,0.7707,0.8629,0.078,0.0459,3.369,5,1.0741,1.1019,0.8687,0.9951,0.9459,0.9072,1.1102,1.0819,1.0324,0.9623,230323559.4,216594422.6,155232346.5,160037455.1,135222080.4,2796716.16,3165835.22,2834989.12,2466579.11,2076604.91,215725,5-story shear model,pending,,,,,,
Case0040,Struct0020,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1913,0.7707,0.8629,0.078,0.0459,3.369,5,1.0741,1.1019,0.8687,0.9951,0.9459,0.9072,1.1102,1.0819,1.0324,0.9623,230323559.4,216594422.6,155232346.5,160037455.1,135222080.4,2796716.16,3165835.22,2834989.12,2466579.11,2076604.91,215725,5-story shear model,pending,,,,,,
Case0041,Struct0021,EI,ground_motion/ei3.txt,0.02,g,1,0.8537,1.0033,1.1991,0.0614,0.0227,3.348,5,1.0674,1.0552,0.9262,1.1161,0.9375,1.0027,1.0056,1.0181,0.9594,0.9831,164023088.4,148635999.6,118604541,128629967,96041250,4024035.64,3732998.38,3472963.08,2983954.66,2761763.84,299775,5-story shear model,pending,,,,,,
Case0042,Struct0021,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8537,1.0033,1.1991,0.0614,0.0227,3.348,5,1.0674,1.0552,0.9262,1.1161,0.9375,1.0027,1.0056,1.0181,0.9594,0.9831,164023088.4,148635999.6,118604541,128629967,96041250,4024035.64,3732998.38,3472963.08,2983954.66,2761763.84,299775,5-story shear model,pending,,,,,,
Case0043,Struct0022,EI,ground_motion/ei3.txt,0.02,g,1,1.0187,0.85,0.9167,0.052,0.0166,3.42,5,0.9752,0.9132,1.1216,0.9525,1.0085,1.0283,1.1201,0.9056,0.8742,1.0578,178818523.2,153495678.6,171386088,130992086.3,123283074,3496220,3522714.5,2617184,2303517,2517564,229175,5-story shear model,pending,,,,,,
Case0044,Struct0022,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0187,0.85,0.9167,0.052,0.0166,3.42,5,0.9752,0.9132,1.1216,0.9525,1.0085,1.0283,1.1201,0.9056,0.8742,1.0578,178818523.2,153495678.6,171386088,130992086.3,123283074,3496220,3522714.5,2617184,2303517,2517564,229175,5-story shear model,pending,,,,,,
Case0045,Struct0023,EI,ground_motion/ei3.txt,0.02,g,1,1.1073,1.105,0.8706,0.0548,0.0357,3.212,5,1.0542,1.0825,0.9451,0.9439,1.147,1.0828,0.9369,1.0501,0.856,0.8926,210116818.8,197777621.3,156976384.5,141099363.5,152408772,4785976,3830515.65,3945225.7,2932228,2761704.4,217650,5-story shear model,pending,,,,,,
Case0046,Struct0023,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1073,1.105,0.8706,0.0548,0.0357,3.212,5,1.0542,1.0825,0.9451,0.9439,1.147,1.0828,0.9369,1.0501,0.856,0.8926,210116818.8,197777621.3,156976384.5,141099363.5,152408772,4785976,3830515.65,3945225.7,2932228,2761704.4,217650,5-story shear model,pending,,,,,,
Case0047,Struct0024,EI,ground_motion/ei3.txt,0.02,g,1,0.8811,0.7866,1.078,0.0437,0.034,3.116,5,1.1289,0.9106,0.9466,0.982,0.9972,0.8544,1.0861,1.1306,1.0954,1.0982,179041282.2,132384393.9,125107389,116807427,105435950.4,2688284.16,3161007.16,3023721.86,2671089.08,2418763.54,269500,5-story shear model,pending,,,,,,
Case0048,Struct0024,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8811,0.7866,1.078,0.0437,0.034,3.116,5,1.1289,0.9106,0.9466,0.982,0.9972,0.8544,1.0861,1.1306,1.0954,1.0982,179041282.2,132384393.9,125107389,116807427,105435950.4,2688284.16,3161007.16,3023721.86,2671089.08,2418763.54,269500,5-story shear model,pending,,,,,,
Case0049,Struct0025,EI,ground_motion/ei3.txt,0.02,g,1,1.0263,0.9109,1.0658,0.0427,0.0336,3.026,5,1.1307,1.087,1.0228,0.9881,1.0725,0.9302,1.0392,1.1195,1.0201,1.0578,208878733.8,184072036.5,157454946,136901749.1,132084810,3389276.72,3502446.94,3467158.67,2880548.18,2697940.06,266450,5-story shear model,pending,,,,,,
Case0050,Struct0025,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0263,0.9109,1.0658,0.0427,0.0336,3.026,5,1.1307,1.087,1.0228,0.9881,1.0725,0.9302,1.0392,1.1195,1.0201,1.0578,208878733.8,184072036.5,157454946,136901749.1,132084810,3389276.72,3502446.94,3467158.67,2880548.18,2697940.06,266450,5-story shear model,pending,,,,,,
Case0051,Struct0026,EI,ground_motion/ei3.txt,0.02,g,1,1.0216,1.1832,1.099,0.0261,0.0118,3.202,5,1.0398,1.0525,1.1092,0.866,1.0987,0.8718,1.0542,0.9161,1.123,1.0234,191206742.4,177413610,169973808,119435256,134691830.4,4126055.04,4615118.93,3685360.37,4119074.16,3390483.26,274750,5-story shear model,pending,,,,,,
Case0052,Struct0026,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0216,1.1832,1.099,0.0261,0.0118,3.202,5,1.0398,1.0525,1.1092,0.866,1.0987,0.8718,1.0542,0.9161,1.123,1.0234,191206742.4,177413610,169973808,119435256,134691830.4,4126055.04,4615118.93,3685360.37,4119074.16,3390483.26,274750,5-story shear model,pending,,,,,,
Case0053,Struct0027,EI,ground_motion/ei3.txt,0.02,g,1,1.14,1.1439,1.0737,0.045,0.0226,3.335,5,0.9972,0.9599,1.0458,0.8708,0.9344,1.1467,0.8943,0.9938,1.0743,1.0161,204625440,180557190,178831800,134016120,127825920,5246840.52,3785062.15,3865146.59,3809564.49,3254487.01,268425,5-story shear model,pending,,,,,,
Case0054,Struct0027,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.14,1.1439,1.0737,0.045,0.0226,3.335,5,0.9972,0.9599,1.0458,0.8708,0.9344,1.1467,0.8943,0.9938,1.0743,1.0161,204625440,180557190,178831800,134016120,127825920,5246840.52,3785062.15,3865146.59,3809564.49,3254487.01,268425,5-story shear model,pending,,,,,,
Case0055,Struct0028,EI,ground_motion/ei3.txt,0.02,g,1,0.8422,0.8546,1.1957,0.079,0.0361,3.166,5,1.1349,1.044,0.914,1.1165,1.1122,1.0435,0.9213,1.025,0.9587,1.0104,172046300.4,145077372,115465620,126942700.5,112403380.8,3567100.4,2913169.03,2978281,2539845.56,2417765.95,298925,5-story shear model,pending,,,,,,
Case0056,Struct0028,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8422,0.8546,1.1957,0.079,0.0361,3.166,5,1.1349,1.044,0.914,1.1165,1.1122,1.0435,0.9213,1.025,0.9587,1.0104,172046300.4,145077372,115465620,126942700.5,112403380.8,3567100.4,2913169.03,2978281,2539845.56,2417765.95,298925,5-story shear model,pending,,,,,,
Case0057,Struct0029,EI,ground_motion/ei3.txt,0.02,g,1,1.0302,0.8568,1.0337,0.0437,0.0293,3.182,5,0.9349,1.116,1.0499,1.0065,0.9829,1.1313,1.1437,0.8695,1.06,0.95,173364116.4,189701028,162241047,139981000.5,121510029.6,3877191.36,3625711.99,2532957.84,2815444.8,2279088,258425,5-story shear model,pending,,,,,,
Case0058,Struct0029,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0302,0.8568,1.0337,0.0437,0.0293,3.182,5,0.9349,1.116,1.0499,1.0065,0.9829,1.1313,1.1437,0.8695,1.06,0.95,173364116.4,189701028,162241047,139981000.5,121510029.6,3877191.36,3625711.99,2532957.84,2815444.8,2279088,258425,5-story shear model,pending,,,,,,
Case0059,Struct0030,EI,ground_motion/ei3.txt,0.02,g,1,1.1788,0.7719,0.9692,0.046,0.0207,3.467,5,1.0261,1.1019,1.1096,0.996,0.9052,0.9445,0.9583,0.9598,1.009,1.1318,217722002.4,214321753.8,196199472,158501448,128045971.2,2916238.2,2736933.55,2518956.71,2414426.01,2446181.98,242300,5-story shear model,pending,,,,,,
Case0060,Struct0030,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1788,0.7719,0.9692,0.046,0.0207,3.467,5,1.0261,1.1019,1.1096,0.996,0.9052,0.9445,0.9583,0.9598,1.009,1.1318,217722002.4,214321753.8,196199472,158501448,128045971.2,2916238.2,2736933.55,2518956.71,2414426.01,2446181.98,242300,5-story shear model,pending,,,,,,
Case0061,Struct0031,EI,ground_motion/ei3.txt,0.02,g,1,1.0678,1.0021,1.1199,0.0776,0.0241,3.14,5,0.9491,0.9382,0.929,1.1229,0.9643,1.0597,0.8528,1.0872,1.1175,0.9038,182420816.4,165298643.4,148797930,161869403.7,123561544.8,4247701.48,3161986.26,3704242.61,3471524.92,2535954.34,279975,5-story shear model,pending,,,,,,
Case0062,Struct0031,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0678,1.0021,1.1199,0.0776,0.0241,3.14,5,0.9491,0.9382,0.929,1.1229,0.9643,1.0597,0.8528,1.0872,1.1175,0.9038,182420816.4,165298643.4,148797930,161869403.7,123561544.8,4247701.48,3161986.26,3704242.61,3471524.92,2535954.34,279975,5-story shear model,pending,,,,,,
Case0063,Struct0032,EI,ground_motion/ei3.txt,0.02,g,1,1.2046,0.9002,0.936,0.0436,0.0404,3.22,5,1.0846,0.975,1.1206,0.8787,1.0032,0.9707,1.0132,0.914,0.8608,0.9581,235171648.8,193790025,202481214,142895072.7,145014566.4,3495296.56,3374705.77,2797461.52,2402165.7,2414948.54,234000,5-story shear model,pending,,,,,,
Case0064,Struct0032,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.2046,0.9002,0.936,0.0436,0.0404,3.22,5,1.0846,0.975,1.1206,0.8787,1.0032,0.9707,1.0132,0.914,0.8608,0.9581,235171648.8,193790025,202481214,142895072.7,145014566.4,3495296.56,3374705.77,2797461.52,2402165.7,2414948.54,234000,5-story shear model,pending,,,,,,
Case0065,Struct0033,EI,ground_motion/ei3.txt,0.02,g,1,0.8565,0.7658,0.8015,0.0372,0.0423,3.543,5,0.8614,1.1134,0.9073,0.896,0.9806,1.0486,1.0177,1.0409,0.9279,1.027,132802038,157348471.5,116565367.5,103602240,100786068,3212071.52,2883612.24,2710212.15,2202816.04,2202134.48,200375,5-story shear model,pending,,,,,,
Case0066,Struct0033,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8565,0.7658,0.8015,0.0372,0.0423,3.543,5,0.8614,1.1134,0.9073,0.896,0.9806,1.0486,1.0177,1.0409,0.9279,1.027,132802038,157348471.5,116565367.5,103602240,100786068,3212071.52,2883612.24,2710212.15,2202816.04,2202134.48,200375,5-story shear model,pending,,,,,,
Case0067,Struct0034,EI,ground_motion/ei3.txt,0.02,g,1,1.2391,1.2379,1.0307,0.0324,0.0254,3.417,5,0.8541,0.9934,1.0758,1.0358,0.9693,1.056,1.11,0.8846,1.1397,0.8756,190496755.8,203102120.1,199953567,173267070.3,144127155.6,5228889.6,5084055.3,3723157.56,4373587.35,3034934.67,257675,5-story shear model,pending,,,,,,
Case0068,Struct0034,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.2391,1.2379,1.0307,0.0324,0.0254,3.417,5,0.8541,0.9934,1.0758,1.0358,0.9693,1.056,1.11,0.8846,1.1397,0.8756,190496755.8,203102120.1,199953567,173267070.3,144127155.6,5228889.6,5084055.3,3723157.56,4373587.35,3034934.67,257675,5-story shear model,pending,,,,,,
Case0069,Struct0035,EI,ground_motion/ei3.txt,0.02,g,1,1.0109,1.0493,1.1531,0.0331,0.0273,3.303,5,0.8982,1.0552,1.0026,1.0632,1.0732,1.128,1.0735,0.9746,0.9617,0.8551,163438268.4,176005777.2,152029251,145096498.8,130187745.6,4734441.6,4167767.13,3477002.45,3128246.61,2512318,288275,5-story shear model,pending,,,,,,
Case0070,Struct0035,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0109,1.0493,1.1531,0.0331,0.0273,3.303,5,0.8982,1.0552,1.0026,1.0632,1.0732,1.128,1.0735,0.9746,0.9617,0.8551,163438268.4,176005777.2,152029251,145096498.8,130187745.6,4734441.6,4167767.13,3477002.45,3128246.61,2512318,288275,5-story shear model,pending,,,,,,
Case0071,Struct0036,EI,ground_motion/ei3.txt,0.02,g,1,1.0489,1.0361,1.07,0.0489,0.0213,3.382,5,1.0178,0.8935,1.0985,1.1201,0.8529,0.9349,0.895,0.9187,1.0619,0.9156,192162675.6,154636704.8,172832497.5,158607840.2,107352817.2,3874599.56,3431045.15,3236341.24,3410727.23,2656228.85,267500,5-story shear model,pending,,,,,,
