CaseID,StructID,GM_ID,gm_file,gm_dt_sec,gm_unit,gm_scale,k_global_scale,qy_global_scale,mass_scale,damping_ratio,alpha_post,story_height_m,n_story,k1_scale,k2_scale,k3_scale,k4_scale,k5_scale,qy1_scale,qy2_scale,qy3_scale,qy4_scale,qy5_scale,K1_N_per_m,K2_N_per_m,K3_N_per_m,K4_N_per_m,K5_N_per_m,Qy1_N,Qy2_N,Qy3_N,Qy4_N,Qy5_N,floor_mass_kg,model_type,run_status,success,message,top_disp_max_m,max_story_drift,base_shear_max_N,analysis_time_sec
Case1644,Struct0822,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1897,1.0024,1.0873,0.0652,0.0221,3.169,5,1.0284,0.943,1.0816,1.0351,1.051,0.8638,0.8897,0.9945,1.0751,0.9502,220227746.4,185111371.5,193016928,166246893.5,150044964,3463492.48,3299790.54,3389415.12,3340808.74,2666945.34,271825,5-story shear model,pending,,,,,,
Case1645,Struct0823,EI,ground_motion/ei3.txt,0.02,g,1,1.1432,0.8506,1.0466,0.0772,0.0222,3.018,5,1.039,0.9567,0.9274,1.1313,0.8869,0.8738,0.9671,1.0936,0.9497,0.8719,213801264,180460407.6,159030552,174595791.6,121668489.6,2973017.12,3043676.46,3162734.94,2504225.94,2076586.79,261650,5-story shear model,pending,,,,,,
Case1646,Struct0823,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1432,0.8506,1.0466,0.0772,0.0222,3.018,5,1.039,0.9567,0.9274,1.1313,0.8869,0.8738,0.9671,1.0936,0.9497,0.8719,213801264,180460407.6,159030552,174595791.6,121668489.6,2973017.12,3043676.46,3162734.94,2504225.94,2076586.79,261650,5-story shear model,pending,,,,,,
Case1647,Struct0824,EI,ground_motion/ei3.txt,0.02,g,1,1.0304,0.7818,1.1773,0.0524,0.0376,3.028,5,0.978,0.8823,0.9003,1.047,0.8764,0.9964,0.9844,0.9236,0.8947,1.0561,181391616,150005116.8,139150368,145641888,108365107.2,3115942.08,2847534.5,2455039.63,2168377.03,2311845.14,294325,5-story shear model,pending,,,,,,
Case1648,Struct0824,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0304,0.7818,1.1773,0.0524,0.0376,3.028,5,0.978,0.8823,0.9003,1.047,0.8764,0.9964,0.9844,0.9236,0.8947,1.0561,181391616,150005116.8,139150368,145641888,108365107.2,3115942.08,2847534.5,2455039.63,2168377.03,2311845.14,294325,5-story shear model,pending,,,,,,
Case1649,Struct0825,EI,ground_motion/ei3.txt,0.02,g,1,0.7949,1.2309,0.862,0.0632,0.011,3.254,5,1.0044,0.8933,0.9522,0.8887,0.9214,0.8532,1.0266,1.024,1.0695,1.1332,143711560.8,117163888.1,113535567,95367730.05,87890503.2,4200815.52,4675475.18,4285501.44,4080987.41,3905596.46,215500,5-story shear model,pending,,,,,,
Case1650,Struct0825,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.7949,1.2309,0.862,0.0632,0.011,3.254,5,1.0044,0.8933,0.9522,0.8887,0.9214,0.8532,1.0266,1.024,1.0695,1.1332,143711560.8,117163888.1,113535567,95367730.05,87890503.2,4200815.52,4675475.18,4285501.44,4080987.41,3905596.46,215500,5-story shear model,pending,,,,,,
Case1651,Struct0826,EI,ground_motion/ei3.txt,0.02,g,1,1.0886,0.8782,1.0051,0.0512,0.0158,3.414,5,0.969,0.9229,1.1185,0.8753,0.9509,0.8632,0.9668,0.8948,1.0227,1.0615,189873612,165770375.1,182639865,128634963.3,124217968.8,3032248.96,3141461.91,2671765.42,2784218.93,2610186.04,251275,5-story shear model,pending,,,,,,
Case1652,Struct0826,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0886,0.8782,1.0051,0.0512,0.0158,3.414,5,0.969,0.9229,1.1185,0.8753,0.9509,0.8632,0.9668,0.8948,1.0227,1.0615,189873612,165770375.1,182639865,128634963.3,124217968.8,3032248.96,3141461.91,2671765.42,2784218.93,2610186.04,251275,5-story shear model,pending,,,,,,
Case1653,Struct0827,EI,ground_motion/ei3.txt,0.02,g,1,1.0358,0.8611,0.8815,0.0777,0.0175,3.292,5,1.1199,0.916,1.1295,1.1473,1.112,1.0082,1.1102,1.0335,1.1347,1.0364,208798635.6,156550812,175490415,160430400.9,138217152,3472644.08,3537174.91,3025819.29,3028979.53,2498843.31,220375,5-story shear model,pending,,,,,,
